0 (1, 1, 1) 309350 30.93 30.93
1 (12, 3, 3) 113530 11.35 42.29
2 (5, 1, 1) 100468 10.05 52.33
3 None 74578 7.46 59.79
4 (11, 1, 1) 46554 4.66 64.45
5 (1, 2, 1) 30580 3.06 67.51
6 (12, 1, 1) 27052 2.71 70.21
7 (2, 2, 1) 19655 1.97 72.18
8 (2, 1, 1) 18145 1.81 73.99
9 (12, 3, 1) 13530 1.35 75.34
10 (12, 3, 12) 13361 1.34 76.68
11 (7, 1, 4) 11167 1.12 77.80
12 (2, 5, 1) 8551 0.86 78.65
13 (18, 5, 1) 8160 0.82 79.47
14 (12, 3, 8) 8017 0.80 80.27
15 (2, 1, 2) 7908 0.79 81.06
16 (3, 1, 1) 7773 0.78 81.84
17 (14, 1, 1) 6941 0.69 82.53
18 (50, 1, 1) 6840 0.68 83.22
19 (12, 3, 7) 6447 0.64 83.86
20 (6, 1, 1) 5697 0.57 84.43
21 (3, 1, 3) 5581 0.56 84.99
22 (2, 2, 3) 5124 0.51 85.50
23 (7, 1, 1) 4995 0.50 86.00
24 (18, 7, 4) 4720 0.47 86.47
25 (18, 11, 1) 4650 0.47 86.94
26 (2, 9, 2) 4492 0.45 87.39
27 (6, 3, 1) 4323 0.43 87.82
28 (18, 12, 1) 3900 0.39 88.21
29 (12, 2, 1) 3466 0.35 88.56
30 (5, 1, 2) 3305 0.33 88.89
31 (1, 3, 1) 3141 0.31 89.20
32 (18, 3, 1) 2503 0.25 89.45
33 (2, 6, 1) 2334 0.23 89.68
34 (50, 1, 6) 2314 0.23 89.92
35 (18, 7, 1) 2314 0.23 90.15
36 (2, 3, 1) 2266 0.23 90.37
37 (14, 1, 2) 2216 0.22 90.59
38 (1, 1, 2) 2172 0.22 90.81
39 (13, 1, 31) 2131 0.21 91.03
40 (13, 1, 34) 1931 0.19 91.22
41 (16, 1, 1) 1924 0.19 91.41
42 (2, 6, 2) 1867 0.19 91.60
43 (18, 4, 5) 1807 0.18 91.78
44 (2, 9, 4) 1710 0.17 91.95
45 (15, 99, 99) 1695 0.17 92.12
46 (2, 7, 1) 1661 0.17 92.28
47 (16, 1, 2) 1566 0.16 92.44
48 (18, 7, 3) 1548 0.15 92.60
49 (8, 4, 1) 1451 0.15 92.74
50 (3, 2, 1) 1400 0.14 92.88
51 (18, 99, 99) 1398 0.14 93.02
52 (18, 12, 3) 1389 0.14 93.16
53 (18, 13, 1) 1379 0.14 93.30
54 (13, 1, 32) 1362 0.14 93.43
55 (18, 14, 1) 1326 0.13 93.57
56 (3, 1, 9) 1311 0.13 93.70
57 (18, 2, 9) 1232 0.12 93.82
58 (5, 4, 1) 1222 0.12 93.94
59 (2, 9, 1) 1195 0.12 94.06
60 (3, 1, 10) 1178 0.12 94.18
61 (4, 1, 3) 1176 0.12 94.30
62 (2, 4, 2) 1149 0.11 94.41
63 (12, 3, 6) 1133 0.11 94.53
64 (12, 4, 99) 1127 0.11 94.64
65 (18, 12, 5) 1126 0.11 94.75
66 (2, 4, 1) 1116 0.11 94.86
67 (12, 4, 3) 1062 0.11 94.97
68 (12, 3, 5) 976 0.10 95.07
69 (18, 7, 2) 926 0.09 95.16
70 (3, 1, 6) 912 0.09 95.25
71 (2, 1, 3) 906 0.09 95.34
72 (12, 3, 9) 896 0.09 95.43
73 (4, 5, 2) 867 0.09 95.52
74 (18, 15, 1) 864 0.09 95.60
75 (15, 2, 4) 847 0.08 95.69
76 (2, 1, 4) 838 0.08 95.77
77 (8, 5, 1) 820 0.08 95.85
78 (5, 3, 99) 803 0.08 95.93
79 (3, 1, 12) 766 0.08 96.01
80 (18, 1, 1) 764 0.08 96.09
81 (13, 1, 14) 759 0.08 96.16
82 (13, 1, 12) 724 0.07 96.24
83 (7, 1, 3) 719 0.07 96.31
84 (18, 12, 2) 708 0.07 96.38
85 (18, 12, 4) 705 0.07 96.45
86 (2, 8, 1) 703 0.07 96.52
87 (2, 9, 3) 696 0.07 96.59
88 (3, 1, 2) 683 0.07 96.66
89 (16, 1, 99) 666 0.07 96.72
90 (15, 5, 1) 632 0.06 96.79
91 (14, 1, 5) 629 0.06 96.85
92 (12, 4, 1) 615 0.06 96.91
93 (18, 4, 1) 595 0.06 96.97
94 (15, 1, 1) 564 0.06 97.03
95 (18, 8, 4) 546 0.05 97.08
96 (18, 6, 1) 542 0.05 97.14
97 (4, 5, 1) 529 0.05 97.19
98 (4, 1, 9) 509 0.05 97.24
99 (13, 1, 24) 499 0.05 97.29
100 (13, 1, 99) 494 0.05 97.34
101 (15, 2, 1) 493 0.05 97.39
102 (2, 3, 3) 474 0.05 97.44
103 (15, 1, 2) 470 0.05 97.48
104 (13, 1, 3) 450 0.04 97.53
105 (12, 2, 2) 444 0.04 97.57
106 (50, 1, 3) 439 0.04 97.62
107 (18, 3, 5) 437 0.04 97.66
108 (6, 1, 2) 426 0.04 97.70
109 (13, 1, 18) 408 0.04 97.74
110 (13, 1, 4) 407 0.04 97.78
111 (5, 3, 3) 403 0.04 97.82
112 (13, 1, 28) 390 0.04 97.86
113 (13, 2, 13) 376 0.04 97.90
114 (13, 1, 33) 375 0.04 97.94
115 (50, 1, 4) 375 0.04 97.98
116 (12, 4, 4) 351 0.04 98.01
117 (4, 1, 1) 348 0.03 98.05
118 (3, 4, 1) 347 0.03 98.08
119 (15, 4, 1) 339 0.03 98.11
120 (13, 2, 2) 287 0.03 98.14
121 (15, 3, 2) 280 0.03 98.17
